Escuela,Sexo,Edad,HorasDeEstudio,Reprobadas,Internet,Faltas,G1,G2,G3
GP,M,16,2,1,yes,12,11,10,10
GP,M,16,2,0,no,18,8,6,7
GP,F,16,3,0,yes,0,7,7,8
GP,F,15,1,0,yes,4,16,17,18
GP,F,16,2,0,no,4,7,6,6
GP,F,16,2,0,yes,0,11,10,10
GP,M,15,4,0,yes,6,11,13,14
GP,F,15,4,1,yes,2,7,10,10
GP,M,16,1,0,yes,2,11,15,15
GP,F,16,2,0,no,2,8,9,10
GP,F,16,1,0,yes,6,11,14,14
GP,F,16,3,0,yes,0,7,9,8
GP,M,16,1,0,yes,14,7,7,5
GP,M,16,3,0,yes,0,16,17,17
GP,M,15,1,0,yes,4,10,13,14
GP,F,15,2,0,yes,26,7,6,6
GP,M,15,2,0,yes,0,16,18,18
GP,F,15,4,0,no,10,10,11,11
GP,F,15,4,0,yes,8,7,8,8
GP,M,16,3,0,yes,2,16,18,18
GP,M,15,4,0,yes,6,10,13,13
GP,F,16,3,0,yes,4,14,15,16
GP,M,15,1,0,yes,6,18,19,19
GP,F,16,3,1,yes,0,7,10,10
GP,F,16,2,1,yes,6,10,13,13
GP,M,15,1,0,yes,10,18,19,19
GP,M,15,2,0,yes,8,9,9,9
GP,M,16,2,0,yes,2,15,15,16
GP,M,15,2,0,no,2,11,13,14
GP,M,16,1,0,yes,0,13,14,13
GP,M,17,2,1,yes,20,9,7,8
GP,M,15,1,0,yes,6,14,13,13
GP,F,15,2,0,yes,2,16,15,15
GP,M,15,4,0,yes,6,16,14,15
GP,F,16,2,0,yes,2,13,13,13
GP,M,16,1,0,yes,18,14,11,13
GP,F,16,2,0,yes,0,8,7,8
GP,M,15,1,0,yes,0,13,13,12
GP,F,15,2,0,yes,0,7,10,11
GP,F,19,2,3,no,2,7,8,9
GP,M,18,1,2,yes,0,7,4,0
GP,M,16,1,0,yes,8,18,18,18
GP,F,15,3,2,yes,0,12,0,0
GP,F,15,1,0,yes,0,8,0,0
GP,F,17,1,0,yes,12,10,13,12
GP,F,16,1,0,yes,16,12,11,11
GP,M,15,2,0,no,0,9,0,0
GP,F,15,3,0,yes,0,11,0,0
GP,M,17,2,0,no,0,10,0,0
GP,F,16,1,2,yes,0,4,0,0
GP,M,16,2,1,no,0,14,12,12
GP,F,15,1,0,yes,0,16,16,15
GP,M,15,4,0,yes,0,7,9,0
GP,M,16,1,2,yes,8,9,9,9
GP,F,15,3,0,yes,2,9,11,11
GP,F,16,1,0,yes,2,14,14,13
GP,M,17,1,3,yes,0,5,0,0
GP,F,15,2,0,yes,0,8,11,11
GP,F,15,2,3,yes,0,6,7,0
GP,F,15,2,0,yes,2,10,11,11
GP,M,16,1,0,yes,0,7,6,0
GP,M,15,1,3,yes,0,8,9,10
GP,M,18,1,3,yes,0,6,5,0
GP,M,16,1,1,no,6,12,13,14
GP,F,15,3,2,yes,8,10,10,10
GP,M,19,1,3,yes,0,5,0,0
GP,F,17,1,0,no,0,11,11,12
GP,M,15,2,0,no,2,11,8,8
GP,M,17,1,0,no,8,16,12,13
GP,F,18,1,3,no,6,9,8,10
GP,M,16,1,0,no,2,17,15,15
GP,M,16,2,1,yes,4,10,12,12
GP,M,17,1,2,yes,0,7,6,0
GP,M,15,2,2,yes,6,5,9,7
GP,M,16,1,1,no,0,7,0,0
GP,M,17,1,0,yes,2,10,10,10
GP,M,17,2,3,no,0,5,8,7
GP,M,16,1,1,no,16,12,11,12
GP,M,16,2,0,yes,4,10,10,10
GP,F,16,2,0,yes,0,14,15,16
GP,F,16,2,0,yes,0,6,7,0
GP,F,16,2,0,yes,0,14,14,14
GP,M,16,1,2,yes,0,6,5,0
GP,M,16,2,0,yes,2,13,15,16
GP,M,17,2,0,yes,0,13,11,10
GP,F,16,2,3,yes,0,8,7,0
GP,F,16,2,0,yes,4,10,11,9
GP,M,17,2,0,yes,4,10,9,9
GP,F,16,2,0,yes,2,13,13,11
GP,M,17,2,0,yes,4,6,5,6
GP,M,16,1,0,yes,10,10,8,9
GP,M,17,2,0,yes,4,10,10,11
GP,M,16,2,0,yes,10,9,8,8
GP,M,16,2,0,yes,2,12,13,12
GP,F,17,2,0,no,0,16,17,17
GP,F,17,2,0,yes,56,9,9,8
GP,F,16,2,0,yes,14,12,13,12
GP,M,17,2,0,yes,12,12,12,11
GP,M,16,1,0,yes,2,11,12,11
GP,M,16,2,0,yes,0,15,15,15
GP,F,17,2,0,yes,6,8,7,9
GP,M,17,2,0,no,4,8,9,10
GP,F,16,2,0,yes,10,11,12,13
GP,F,17,2,0,yes,0,8,8,9
GP,M,17,2,0,yes,12,7,8,8
GP,M,16,1,0,yes,8,8,9,10
GP,M,16,1,0,yes,0,13,14,14
GP,F,17,2,0,yes,0,14,15,15
GP,M,17,1,0,yes,4,17,15,16
GP,M,16,1,0,yes,8,9,9,10
GP,F,17,1,1,yes,24,18,18,18
GP,F,16,2,0,yes,0,9,9,10
GP,F,16,2,0,yes,2,16,16,16
GP,F,16,2,0,no,6,8,10,10
GP,F,17,2,0,no,4,9,9,10
GP,F,17,1,0,yes,18,7,6,6
GP,F,16,4,0,yes,6,10,10,11
GP,F,17,3,1,yes,28,10,9,9
GP,F,16,2,3,yes,5,7,7,7
GP,F,16,2,0,yes,10,11,12,13
GP,F,16,1,0,no,6,9,9,10
GP,F,17,3,0,yes,6,7,7,7
GP,F,19,4,0,yes,10,8,8,8
GP,M,17,2,0,yes,13,12,12,13
GP,F,16,2,0,yes,0,12,13,14
GP,M,18,2,1,yes,15,6,7,8
GP,F,17,1,0,no,12,8,10,10
GP,F,17,2,0,yes,2,14,15,15
GP,F,17,2,2,yes,22,6,6,4
GP,M,18,2,1,yes,13,6,6,8
GP,F,17,1,0,no,3,7,7,8
GP,F,17,3,0,yes,4,9,10,10
GP,F,17,2,0,yes,2,6,6,6
GP,F,17,3,1,no,0,6,5,0
GP,F,16,2,0,yes,2,16,16,17
GP,M,18,2,0,yes,0,12,13,13
GP,F,16,3,0,yes,0,13,13,14
GP,F,18,2,1,yes,16,9,8,7
GP,F,17,2,0,yes,10,16,15,15
GP,M,17,2,0,yes,2,12,11,12
GP,M,18,2,0,yes,14,10,8,9
GP,F,17,3,0,yes,10,12,10,12
GP,F,17,2,0,yes,14,13,13,14
GP,M,17,2,0,yes,4,11,11,11
GP,M,17,2,0,yes,14,11,9,9
GP,M,16,2,0,yes,2,14,13,13
GP,M,16,2,0,yes,18,9,7,6
GP,M,16,3,0,yes,10,11,9,10
GP,M,17,2,0,yes,4,14,13,13
GP,F,16,1,0,yes,20,13,12,12
GP,F,17,2,0,no,2,13,11,11
GP,M,18,2,1,yes,0,7,7,0
GP,M,17,2,0,yes,14,12,12,12
GP,M,17,2,0,yes,2,10,11,12
GP,M,16,1,0,yes,0,6,0,0
GP,M,16,1,0,yes,0,13,12,12
GP,F,18,3,0,yes,0,7,0,0
GP,M,16,1,0,yes,6,18,18,18
GP,M,17,1,0,yes,4,12,12,13
GP,M,22,1,3,yes,16,6,8,8
GP,M,18,2,1,yes,8,3,5,5
GP,M,16,1,0,yes,0,13,15,15
GP,M,18,1,1,yes,0,6,8,8
GP,M,16,2,0,yes,6,7,10,10
GP,M,18,1,1,yes,4,6,9,8
GP,M,16,1,0,no,0,8,9,8
GP,M,17,1,0,yes,0,8,12,12
GP,M,17,1,1,yes,2,7,9,8
GP,F,17,4,0,yes,6,14,12,13
GP,M,19,2,0,yes,12,11,11,11
GP,M,18,2,0,yes,8,15,14,14
GP,F,17,4,0,yes,0,10,9,0
GP,F,18,2,0,yes,21,17,18,18
GP,M,18,2,0,yes,2,8,8,8
GP,M,18,3,0,no,1,13,12,12
GP,F,17,3,0,no,4,10,9,9
GP,F,18,3,0,yes,0,9,10,0
GP,M,18,2,0,yes,13,17,17,17
GP,M,17,2,0,yes,2,9,9,10
GP,F,18,2,0,yes,8,12,10,11
GP,M,18,2,0,yes,10,10,9,10
GP,F,18,2,0,yes,0,6,0,0
GP,F,19,2,2,yes,15,9,9,9
GP,F,18,4,0,yes,4,15,14,14
GP,F,18,2,0,no,2,11,11,11
GP,M,17,2,0,no,2,15,14,14
GP,F,17,2,0,yes,2,10,10,10
GP,F,17,2,0,yes,6,12,12,12
GP,F,18,2,0,yes,75,10,9,9
GP,M,18,1,0,yes,22,9,9,9
GP,F,18,2,1,yes,15,9,8,8
GP,M,18,1,0,yes,8,10,11,10
GP,M,17,1,0,yes,30,8,8,8
GP,M,17,1,1,yes,19,11,9,10
GP,F,18,4,0,no,1,12,12,12
GP,F,18,2,0,yes,4,8,9,10
GP,F,17,2,0,yes,4,10,9,11
GP,M,17,2,0,yes,2,12,10,11
GP,F,18,3,0,yes,5,18,18,19
GP,F,17,3,0,yes,6,13,12,12
GP,M,18,3,0,yes,6,15,14,14
GP,M,18,2,0,yes,9,15,13,15
GP,M,18,2,0,yes,11,12,11,11
GP,F,17,3,0,yes,0,15,15,15
GP,F,18,2,1,yes,12,12,12,13
GP,F,17,4,0,no,6,18,18,18
GP,M,18,3,0,yes,8,14,13,14
GP,M,17,1,0,yes,4,14,12,11
GP,F,19,2,0,yes,0,10,9,0
GP,F,18,2,0,yes,10,10,8,8
GP,F,18,4,0,yes,0,14,13,14
GP,M,18,1,0,yes,5,16,15,16
GP,F,18,2,0,yes,14,12,10,11
GP,M,17,1,0,yes,0,11,11,10
GP,F,17,3,0,yes,0,15,12,14
GP,F,17,4,0,yes,0,17,17,18
GP,M,19,2,1,yes,20,15,14,13
GP,F,18,2,1,yes,8,14,12,12
GP,M,20,1,0,no,0,17,18,18
GP,M,19,1,1,yes,38,8,9,8
GP,M,19,2,1,no,0,15,12,12
GP,F,19,2,1,yes,18,12,10,10
GP,F,19,2,1,no,0,9,9,0
GP,F,19,2,0,yes,20,14,12,13
GP,M,19,2,1,yes,3,13,11,11
GP,F,19,2,1,yes,22,13,10,11
GP,F,19,3,2,yes,14,15,13,13
GP,F,19,3,1,yes,40,13,11,11
GP,F,18,2,0,yes,0,8,8,0
GP,F,18,3,0,yes,9,9,10,9
GP,F,17,3,0,yes,0,11,11,10
GP,F,18,2,0,yes,2,11,11,11
GP,F,17,2,0,yes,23,13,13,13
GP,F,17,2,0,no,12,11,9,9
GP,F,17,3,0,yes,3,11,11,11
GP,F,17,3,0,yes,1,12,14,15
GP,F,17,3,0,yes,0,16,15,15
GP,M,18,3,0,yes,3,9,12,11
GP,M,17,1,0,yes,3,14,15,16
GP,M,17,1,0,yes,8,11,10,10
GP,F,17,3,0,yes,7,10,9,9
GP,F,17,3,0,yes,4,14,14,14
GP,M,18,4,0,yes,2,9,8,8
GP,F,17,3,0,yes,7,12,14,14
GP,F,18,2,0,yes,0,7,0,0
GP,F,18,2,0,yes,0,8,8,0
GP,F,18,4,0,no,0,10,9,0
GP,F,17,3,0,yes,16,16,15,15
GP,F,19,3,1,no,12,14,13,13
GP,F,17,2,0,yes,0,7,8,0
GP,F,18,4,0,yes,7,16,15,17
GP,F,17,2,0,yes,4,9,10,10
GP,F,19,3,1,yes,4,11,12,11
GP,M,18,2,1,yes,0,10,10,0
GP,M,18,2,0,yes,11,16,15,15
GP,F,17,2,1,yes,0,9,8,0
GP,F,18,3,0,yes,4,11,10,10
GP,F,18,3,0,yes,7,13,13,14
GP,M,18,3,0,yes,9,16,15,16
GP,M,18,3,0,yes,0,10,10,9
GP,F,17,3,0,yes,0,13,15,15
MS,M,18,1,1,yes,10,11,13,13
MS,M,19,2,3,yes,8,8,7,8
MS,M,17,2,0,yes,2,13,13,13
MS,M,18,1,1,yes,7,8,7,8
MS,M,19,1,1,yes,4,8,8,8
MS,M,17,2,0,yes,4,13,11,11
MS,F,18,2,0,no,0,10,9,9
MS,F,17,2,0,yes,4,12,13,13
MS,F,17,2,0,no,2,12,12,11
MS,M,18,1,0,yes,4,10,10,10
MS,F,18,3,0,yes,0,18,16,16
MS,F,18,2,0,no,0,13,13,13
MS,M,18,2,1,no,2,13,12,12
MS,F,18,2,0,yes,0,11,11,10
MS,F,17,2,0,yes,0,16,15,15
MS,F,17,2,0,no,0,12,11,12
MS,M,18,2,0,no,4,10,10,10
MS,M,18,3,0,yes,0,13,13,13
MS,F,17,1,1,yes,0,7,6,0
MS,F,18,1,0,yes,0,11,10,10
MS,F,18,2,0,yes,10,14,12,11
MS,F,19,2,2,no,4,7,7,9
MS,M,18,1,0,yes,3,14,12,12
MS,F,17,3,0,no,8,13,11,11
MS,F,17,1,0,yes,14,6,5,5
MS,F,18,3,0,yes,0,19,18,19
MS,F,18,3,0,yes,2,8,8,10
MS,F,20,3,2,yes,4,15,14,15
MS,F,18,2,0,yes,4,8,9,10
MS,F,18,2,0,yes,0,15,15,15
MS,F,17,2,0,yes,17,10,10,10
MS,M,18,2,0,yes,4,15,14,14
MS,M,18,1,0,yes,5,7,6,7
MS,M,17,2,0,yes,2,11,11,10
MS,M,19,1,1,no,0,6,5,0
MS,M,18,1,1,no,14,6,5,5
MS,F,18,3,0,no,2,10,9,10
MS,F,18,1,0,yes,7,6,5,6
MS,F,19,3,1,yes,0,7,5,0
MS,F,18,2,0,yes,0,7,9,8
MS,F,18,2,1,no,0,6,5,0
MS,M,20,2,2,no,11,9,9,9
MS,M,17,1,0,yes,3,14,16,16
MS,M,21,1,3,no,3,10,8,7
MS,M,18,1,0,yes,0,11,12,10
MS,M,19,1,0,yes,5,8,9,9
